utterance	intent
挂失	LOSS_GUIDE
挂失？	LOSS_GUIDE
挂失怎么办	LOSS_GUIDE
请问挂失	LOSS_GUIDE
请问挂失？	LOSS_GUIDE
请问挂失怎么办	LOSS_GUIDE
麻烦挂失	LOSS_GUIDE
麻烦挂失？	LOSS_GUIDE
麻烦挂失怎么办	LOSS_GUIDE
我想挂失	LOSS_GUIDE
我想挂失？	LOSS_GUIDE
我想挂失怎么办	LOSS_GUIDE
我要挂失	LOSS_GUIDE
我要挂失？	LOSS_GUIDE
我要挂失怎么办	LOSS_GUIDE
请问我要挂失	LOSS_GUIDE
请问我要挂失？	LOSS_GUIDE
请问我要挂失怎么办	LOSS_GUIDE
麻烦我要挂失	LOSS_GUIDE
麻烦我要挂失？	LOSS_GUIDE
麻烦我要挂失怎么办	LOSS_GUIDE
我想我要挂失	LOSS_GUIDE
我想我要挂失？	LOSS_GUIDE
我想我要挂失怎么办	LOSS_GUIDE
帮我挂失	LOSS_GUIDE
帮我挂失？	LOSS_GUIDE
帮我挂失怎么办	LOSS_GUIDE
请问帮我挂失	LOSS_GUIDE
请问帮我挂失？	LOSS_GUIDE
请问帮我挂失怎么办	LOSS_GUIDE
麻烦帮我挂失	LOSS_GUIDE
麻烦帮我挂失？	LOSS_GUIDE
麻烦帮我挂失怎么办	LOSS_GUIDE
我想帮我挂失	LOSS_GUIDE
我想帮我挂失？	LOSS_GUIDE
我想帮我挂失怎么办	LOSS_GUIDE
办理挂失	LOSS_GUIDE
办理挂失？	LOSS_GUIDE
办理挂失怎么办	LOSS_GUIDE
请问办理挂失	LOSS_GUIDE
请问办理挂失？	LOSS_GUIDE
请问办理挂失怎么办	LOSS_GUIDE
麻烦办理挂失	LOSS_GUIDE
麻烦办理挂失？	LOSS_GUIDE
麻烦办理挂失怎么办	LOSS_GUIDE
我想办理挂失	LOSS_GUIDE
我想办理挂失？	LOSS_GUIDE
我想办理挂失怎么办	LOSS_GUIDE
申请挂失	LOSS_GUIDE
申请挂失？	LOSS_GUIDE
申请挂失怎么办	LOSS_GUIDE
请问申请挂失	LOSS_GUIDE
请问申请挂失？	LOSS_GUIDE
